Min Row,Min Col,Max Row,Max Col,Centroid X,Centroid Y,Area
0,14,74,122,66.34,29.25,5822.0
0,190,93,314,253.32,38.71,8288.0
0,323,8,338,330.0,2.63,82.0
0,380,80,481,432.68,36.42,5758.0
0,530,89,679,612.63,32.19,6263.0
0,707,8,723,714.5,2.71,90.0
0,929,98,1000,968.18,46.66,5285.0
10,759,93,841,798.36,50.71,4677.0
120,191,254,305,245.77,186.12,9400.0
135,0,227,107,60.14,182.24,6651.0
144,374,252,483,426.6,193.49,7692.0
147,555,273,681,615.21,208.86,10138.0
158,930,260,1000,972.91,207.67,4823.0
164,757,251,856,805.98,205.28,6275.0
289,0,399,96,49.8,339.73,7740.0
303,197,395,293,239.55,344.93,5409.0
303,370,400,484,432.84,355.48,7071.0
312,557,413,666,612.06,361.46,6886.0
314,940,432,1000,974.78,374.4,5169.0
318,766,400,850,809.21,357.06,4575.0
460,0,544,94,46.71,503.21,5497.0
466,371,583,502,438.92,520.07,9318.0
470,171,584,303,230.71,518.96,8713.0
474,566,587,694,625.09,528.39,9422.0
496,769,596,869,820.58,542.44,6617.0
509,964,583,1000,986.4,548.46,1727.0
605,0,667,104,45.87,641.94,4719.0
614,184,667,288,240.47,644.65,4076.0
620,395,667,489,445.89,647.24,3027.0
636,586,667,655,621.71,654.06,1536.0
639,787,667,862,819.86,655.65,1428.0
651,985,667,1000,992.7,659.25,207.0
